Project,Package,Module,Smell,Class,Line no,File,Description
group02,group02.backend.test,test_base,Wide hierarchy,TestDataCreation,0,D:\01_Study\Sem-1\Adv Software Engineering\Group project\group02\backend\test\test_base.py,Class 'TestDataCreation' has a wide hierarchy with 6 direct subclasses.
group02,group02.backend.test.integration,ai_routes_test,Broken hierarchy,AiRoutesTestCase,10,D:\01_Study\Sem-1\Adv Software Engineering\Group project\group02\backend\test\integration\ai_routes_test.py,Class 'AiRoutesTestCase' and its superclass 'DatabaseTestCase' may not share a proper 'IS-A' relationship.
group02,group02.backend.test.integration,ai_routes_test,Broken hierarchy,AiRoutesTestCase,10,D:\01_Study\Sem-1\Adv Software Engineering\Group project\group02\backend\test\integration\ai_routes_test.py,Class 'AiRoutesTestCase' and its superclass 'TestDataCreation' may not share a proper 'IS-A' relationship.
group02,group02.backend.test.integration,ai_routes_test,Multifaceted abstraction,AiRoutesTestCase,10,D:\01_Study\Sem-1\Adv Software Engineering\Group project\group02\backend\test\integration\ai_routes_test.py,"Class 'AiRoutesTestCase' has a high LCOM value of 1, indicating it may have multiple responsibilities."
group02,group02.backend.test.integration,answer_edit_test,Multifaceted abstraction,TestAnswerEditRoutesMinimal,18,D:\01_Study\Sem-1\Adv Software Engineering\Group project\group02\backend\test\integration\answer_edit_test.py,"Class 'TestAnswerEditRoutesMinimal' has a high LCOM value of 1, indicating it may have multiple responsibilities."
group02,group02.backend.test.integration,answer_routes_test,Broken hierarchy,AnswerRoutesTestCase,16,D:\01_Study\Sem-1\Adv Software Engineering\Group project\group02\backend\test\integration\answer_routes_test.py,Class 'AnswerRoutesTestCase' and its superclass 'TestDataCreation' may not share a proper 'IS-A' relationship.
group02,group02.backend.test.integration,answer_routes_test,Multifaceted abstraction,AnswerRoutesTestCase,16,D:\01_Study\Sem-1\Adv Software Engineering\Group project\group02\backend\test\integration\answer_routes_test.py,"Class 'AnswerRoutesTestCase' has a high LCOM value of 1, indicating it may have multiple responsibilities."
group02,group02.backend.test.integration,comment_routes_test,Broken hierarchy,CommentRoutesTestCase,17,D:\01_Study\Sem-1\Adv Software Engineering\Group project\group02\backend\test\integration\comment_routes_test.py,Class 'CommentRoutesTestCase' and its superclass 'TestDataCreation' may not share a proper 'IS-A' relationship.
group02,group02.backend.test.integration,comment_routes_test,Multifaceted abstraction,CommentRoutesTestCase,17,D:\01_Study\Sem-1\Adv Software Engineering\Group project\group02\backend\test\integration\comment_routes_test.py,"Class 'CommentRoutesTestCase' has a high LCOM value of 1, indicating it may have multiple responsibilities."
group02,group02.backend.test.integration,login_routes_test,Multifaceted abstraction,LoginRoutesTestCase,20,D:\01_Study\Sem-1\Adv Software Engineering\Group project\group02\backend\test\integration\login_routes_test.py,"Class 'LoginRoutesTestCase' has a high LCOM value of 1, indicating it may have multiple responsibilities."
group02,group02.backend.test.integration,question_edit_test,Insufficient modularization,TestQuestionEditRoutesMinimal,19,D:\01_Study\Sem-1\Adv Software Engineering\Group project\group02\backend\test\integration\question_edit_test.py,"Class 'TestQuestionEditRoutesMinimal' is insufficiently modularized with NOPM: 24, WMC: 24, NOM: 24."
group02,group02.backend.test.integration,question_edit_test,Multifaceted abstraction,TestQuestionEditRoutesMinimal,19,D:\01_Study\Sem-1\Adv Software Engineering\Group project\group02\backend\test\integration\question_edit_test.py,"Class 'TestQuestionEditRoutesMinimal' has a high LCOM value of 1, indicating it may have multiple responsibilities."
group02,group02.backend.test.integration,question_routes_test,Broken hierarchy,QuestionRoutesTestCase,16,D:\01_Study\Sem-1\Adv Software Engineering\Group project\group02\backend\test\integration\question_routes_test.py,Class 'QuestionRoutesTestCase' and its superclass 'TestDataCreation' may not share a proper 'IS-A' relationship.
group02,group02.backend.test.integration,question_routes_test,Multifaceted abstraction,QuestionRoutesTestCase,16,D:\01_Study\Sem-1\Adv Software Engineering\Group project\group02\backend\test\integration\question_routes_test.py,"Class 'QuestionRoutesTestCase' has a high LCOM value of 1, indicating it may have multiple responsibilities."
group02,group02.backend.test.integration,question_tag_routes_test,Broken hierarchy,QuestionTagRoutesTestCase,16,D:\01_Study\Sem-1\Adv Software Engineering\Group project\group02\backend\test\integration\question_tag_routes_test.py,Class 'QuestionTagRoutesTestCase' and its superclass 'TestDataCreation' may not share a proper 'IS-A' relationship.
group02,group02.backend.test.integration,question_tag_routes_test,Multifaceted abstraction,QuestionTagRoutesTestCase,16,D:\01_Study\Sem-1\Adv Software Engineering\Group project\group02\backend\test\integration\question_tag_routes_test.py,"Class 'QuestionTagRoutesTestCase' has a high LCOM value of 1, indicating it may have multiple responsibilities."
group02,group02.backend.test.integration,vote_routes_test,Broken hierarchy,VoteRoutesTestCase,16,D:\01_Study\Sem-1\Adv Software Engineering\Group project\group02\backend\test\integration\vote_routes_test.py,Class 'VoteRoutesTestCase' and its superclass 'TestDataCreation' may not share a proper 'IS-A' relationship.
group02,group02.backend.test.unit,fuzzy_search_test,Multifaceted abstraction,TestFuzzySearchBasic,12,D:\01_Study\Sem-1\Adv Software Engineering\Group project\group02\backend\test\unit\fuzzy_search_test.py,"Class 'TestFuzzySearchBasic' has a high LCOM value of 1, indicating it may have multiple responsibilities."
group02,group02.backend.test.unit,gemini_services_test,Multifaceted abstraction,GeminiServicesTestCase,15,D:\01_Study\Sem-1\Adv Software Engineering\Group project\group02\backend\test\unit\gemini_services_test.py,"Class 'GeminiServicesTestCase' has a high LCOM value of 1, indicating it may have multiple responsibilities."
group02,group02.backend.test.unit,html_sanitization_test,Multifaceted abstraction,TestHtmlSanitization,13,D:\01_Study\Sem-1\Adv Software Engineering\Group project\group02\backend\test\unit\html_sanitization_test.py,"Class 'TestHtmlSanitization' has a high LCOM value of 1, indicating it may have multiple responsibilities."
group02,group02.backend.test.unit,user_login_test,Multifaceted abstraction,TestUserLogin,6,D:\01_Study\Sem-1\Adv Software Engineering\Group project\group02\backend\test\unit\user_login_test.py,"Class 'TestUserLogin' has a high LCOM value of 1, indicating it may have multiple responsibilities."
group02,group02.backend.test.unit,user_registration_test,Multifaceted abstraction,TestUserRegistration,8,D:\01_Study\Sem-1\Adv Software Engineering\Group project\group02\backend\test\unit\user_registration_test.py,"Class 'TestUserRegistration' has a high LCOM value of 1, indicating it may have multiple responsibilities."
